Occupant Number,Occupancy 1,Occupancy 2,Survey Time,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,OUTDOOR Ambient Temp.,OUTDOOR Relative Humidity,OUTDOOR Air Velocity,Metabolic Rate (last 15 mins.),Metabolic Rate (last 1 hour),Clothing Level (+ Chair),Min. Accept. Sensation (right now),Max. Accept. Sensation (right now),Gender,Age,Office Type,Floor Number,Location on Floor Plan,Min. Accept. Sensation (summer),Min. Accept. Sensation (winter),Med. Accept. Sensation (summer),Med. Accept. Sensation (winter),Max. Accept. Sensation (summer),Max. Accept. Sensation (winter),Discomfort Location: HEAD,Discomfort Location: CHEST,Discomfort Location: BACK,Discomfort Location: PELVIS,Discomfort Location: ARMS ,Discomfort Location: HANDS,Discomfort Location: LEGS,Discomfort Location: FEET,Discomfort Location: ALL OVER,Thermal Sensation Movement (recently),"Relative ""Busyness"" (recently)",Relative Productivity (recently),General Satisfaction w/ Amount of Space,General Satisfaction w/ Privacy,General Thermal Comfort,General Satisfaction w/ Perceived Control,Fan/Heater Class,State of Fan/Heater,Current Thermostat COOLING Setpoint,Base Thermostat COOLING Setpoint,Current Thermostat HEATING Setpoint,Base Thermostat HEATING Setpoint,Clothing Change (recently),Clothing Change UP (recently),Clothing Change DOWN (recently),Net Clothing Change (recently),Drinking Beverage?,Action on WINDOW (recently),Action on DOOR (recently),Action on BLINDS (recently),Action on LOCAL FAN (recently),Action on LOCAL HEATER (recently),Action on THERMOSTAT (recently),CLOTHING availability,DRINKS availability,LOCAL HEATER availability,LOCAL FAN availability,THERMOSTAT availability,WINDOW availability,DOOR availability,BLINDS availability,CLOTHING effectiveness,DRINKS effectiveness,LOCAL HEATER effectiveness,LOCAL FAN effectiveness,THERMOSTAT effectiveness,WINDOW effectiveness,DOOR effectiveness,BLINDS effectiveness,Reported Discomfort to Management,Chooses set point that maximizes PRODUCTIVITY,Chooses set point that maximized COMFORT/PLEASURE,Wishes set point to stay at setting they choose,Chooses set point that is most agreeable to OTHERS,Chooses set point that is most ENERGY EFFICIENT,Chooses set point most in line with MGMT policies,Choooses set point most TYPICAL of office setting,comfort
1,1,1,2,24.07,55.84,0.03,31,55,3.58,1.1,1.05,0.66,-2,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,1,1,0,0.25,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,3,24.07,54.1,0.03,32,46,4.02,1.1,1.05,0.41,-2,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,1,0,1,-0.25,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,23.72,61.36,0.03,26,89,3.58,1.1,1.6,0.42,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,24.13,25.56,25.24,24.44,99,99,99,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.89,56.25,0.03,26,74,1.34,1.1,1.05,0.44,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,1,0,1,-0.25,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,3,23.98,52.84,0.03,28,70,3.58,1.1,1.05,0.44,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,2,4,4,2,2,2,0,24.13,25.56,25.24,24.44,1,0,1,-0.25,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,23.2,52.82,0.03,26,51,3.13,1.1,1.6,0.44,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,24.13,25.56,25.24,24.44,99,99,99,0,99,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.89,50.05,0.03,29,40,5.36,1.1,1.05,0.69,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,1,1,0,0.25,99,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,23.2,53.72,0.03,24,89,0.45,1.1,1.6,0.5,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,24.13,25.56,25.24,24.44,99,99,99,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,24.07,51,0.03,24,83,4.47,1.1,1.37,0.5,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,0,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,0
1,1,1,3,23.98,49.25,0.03,24,89,1.34,1.1,1.05,0.5,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,0,0,0,0,99,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,0,0,1,23.03,55.63,0.03,27,66,2.24,1.1,1.6,0.41,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,24.13,25.56,25.24,24.44,99,99,99,0,99,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,24.07,51.6,0.03,28,58,2.24,1.1,1.05,0.41,-2,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,3,23.98,49.93,0.03,23,83,2.68,1.1,1.05,0.41,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,2,4,4,2,2,2,0,24.13,25.56,25.24,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,0
1,1,1,1,23.03,52.4,0.03,25,57,5.36,1.1,1.6,0.44,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,24.13,25.56,25.24,24.44,99,99,99,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.38,50.52,0.03,28,37,4.02,1.1,1.05,0.44,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,3,24.07,47.17,0.03,30,35,6.26,1.1,1.05,0.44,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,23.72,55.58,0.03,27,62,2.68,1.1,1.6,0.42,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,,4,4,2,2,2,0,24.13,25.56,25.24,24.44,99,99,99,0,99,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.72,53.26,0.03,31,43,6.71,1.1,1.27,0.67,-2,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,1,1,0,0.25,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,3,24.07,50.31,0.03,32,43,5.81,1.1,1.05,0.67,-2,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,,,3,4,4,2,2,2,0,24.13,25.56,25.24,24.44,0,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,24.07,52.47,0.03,18,56,4.47,1.32,1.9,0.43,-1,0,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,23.02,25.56,24.13,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,2,24.76,43.65,0.03,21,40,5.36,1.34,1.05,0.43,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,3,,4,4,2,2,2,0,23.02,25.56,24.13,24.44,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,3,23.38,41.16,0.03,21,38,5.81,1.07,1.1,0.43,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,3,,4,4,2,2,2,0,23.02,25.56,24.13,24.44,1,1,0,0.25,0,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,1,21.13,44.06,0.03,8,76,3.13,1.4,2,0.71,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,22.69,39.83,0.03,9,66,7.15,1.2,1.03,0.96,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,3,,4,4,2,2,2,0,23.02,,24.13,,1,1,0,0.44,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,0
1,1,1,3,22.69,35.52,0.03,10,58,4.02,1.28,1.05,0.96,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,1,3,,4,4,2,2,2,0,23.02,,24.13,,3,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,1,20.95,40.92,0.03,9,66,5.36,1.5,1,0.98,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,2,22.94,35.81,0.03,11,54,6.26,1.46,1.05,0.98,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,2,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,3,23.03,34.08,0.03,10,62,7.15,1.05,1.03,0.98,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,1,3,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,1,21.65,38.36,0.03,8,61,4.47,1.5,1.9,0.9,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,22.94,35.38,0.03,10,50,6.71,1.2,1.07,0.9,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,3,,4,4,2,2,2,0,23.02,,24.13,,3,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,3,23.72,32.39,0.03,9,62,5.81,1.14,1.28,0.9,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,3,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,1,20.52,33.61,0.03,4,56,5.81,1.26,1.6,0.85,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,2,22.69,26.8,0.03,6,49,6.71,1.15,1.15,0.95,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,3,,4,4,2,2,2,1,23.02,,24.13,,1,1,0,0.32,0,0,0,0,0,1,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,0
1,1,1,3,23.03,26.86,0.03,7,45,5.81,1.18,1.07,0.85,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,4,,4,4,2,2,2,0,23.02,,24.13,,1,0,1,-0.32,2,0,0,0,0,3,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,0,0,1,19.92,29.06,0.03,3,52,4.02,1.55,1.9,0.87,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,21.99,24.17,0.03,6.28,49,3.58,1.38,1.18,0.87,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,1,4,,4,4,2,2,2,1,23.02,,24.13,,0,0,0,0,2,0,0,0,0,1,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,3,22.43,25.25,0.03,7,45,4.47,1.28,1.03,0.77,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,4,,4,4,2,2,2,0,23.02,,24.13,,1,0,1,-0.32,2,0,0,0,0,3,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,1,20.95,28.93,0.03,4,60,6.26,1.35,1.9,0.79,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,2,21.3,26.41,0.03,3,75,6.71,1.2,1.28,0.89,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,3,,4,4,2,2,2,1,23.02,,24.13,,1,1,0,0.32,2,0,0,0,0,1,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,0
1,1,1,3,21.82,26.82,0.03,3,87,7.15,1.14,1.15,0.89,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,1,3,,4,4,2,2,2,1,23.02,,24.13,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,0,0,1,19.92,30.75,0.03,6,39,4.47,1.6,1.9,0.86,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,23.02,24.44,24.13,23.33,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,22.69,23.27,0.03,9,27,7.15,1.03,1.03,0.86,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,3,,4,4,2,2,2,1,23.02,24.44,24.13,23.33,0,0,0,0,2,0,0,0,0,1,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,3,23.29,25.68,0.03,11,22,6.26,1.36,1.15,0.86,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,3,,4,4,2,2,2,0,23.02,24.44,24.13,23.33,0,0,0,0,2,0,0,0,0,3,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,1,21.3,44.62,0.03,12,94,2.68,1.38,1.9,0.58,0,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,23.02,24.44,24.13,23.33,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,23.38,43.1,0.03,21,56,6.71,1.18,1.07,0.83,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,3,,4,4,2,2,2,0,23.02,24.44,24.13,23.33,1,1,0,0.32,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,3,22.34,42.21,0.03,20,60,4.02,1.22,1.07,0.83,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,3,,4,4,2,2,2,0,23.02,24.44,24.13,23.33,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,1,21.47,48.25,0.03,7,87,5.81,1.4,1.9,0.69,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,23.02,24.44,24.13,23.33,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,,1,1,2,4,2,2,4,1
1,1,1,2,22.34,41.42,0.03,7,81,5.36,1.26,1.38,0.69,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,-1,3,,4,4,2,2,2,0,23.02,24.44,24.13,23.33,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,0
1,1,1,3,23.03,33.19,0.03,9,57,4.47,1.23,1.07,0.69,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,3,,4,4,2,2,2,1,23.02,24.44,24.13,23.33,3,0,0,0,2,0,0,0,0,1,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,0
1,1,1,1,20.61,30.2,0.03,4,81,2.24,1.27,1.5,0.75,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,15.96,,24.29,,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,2,22.34,26.72,0.03,9,62,2.68,1.36,1.5,0.75,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,6,,,9,-1,3,3,4,4,2,2,2,1,15.96,,24.29,,3,0,0,0,2,0,0,0,0,1,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,0
1,1,1,3,22.69,30.18,0.03,10,66,6.71,1.28,1.2,0.75,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,1,3,3,4,4,2,2,2,0,15.96,,24.29,,0,0,0,0,2,0,0,0,0,3,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,1,21.3,29.99,0.03,6,49,3.58,1.35,1.9,0.72,-1,1,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,,,4,4,2,2,2,0,15.96,,24.29,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,2,21.99,26.58,0.03,8,42,4.47,1.31,1.07,0.97,1,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,2,4,3,4,4,2,2,2,0,15.96,,24.29,,1,1,0,0.32,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
1,1,1,3,22.34,26.91,0.03,10,37,2.24,1.2,1.2,0.97,0,2,2,32,3,1,1,-1,0,4.5,6,0,2,,,,,,,,,,0,3,3,4,4,2,2,2,0,15.96,,24.29,,0,0,0,0,2,0,0,0,0,0,0,4,4,4,0,0,2,1,1,4,2,3,0,0,2,0,0,0,1,1,2,4,2,2,4,1
